Edition,Entity_code,GLOBAL_ID,Series_with_units,Rank,Value
2014,CMR,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",112,0.0263
2012,COL,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",26,0.4429
2013,COL,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",11,0.7368
2014,COL,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",11,0.7368
2012,CPV,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",66,0.1714
2013,CPV,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",58,0.2368
2014,CPV,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",59,0.2368
2012,CRI,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",56,0.2
2013,CRI,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",46,0.3158
2014,CRI,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",47,0.3158
2012,CYP,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",23,0.4857
2013,CYP,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",96,0.0789
2014,CYP,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",97,0.0789
2012,CZE,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",79,0.1286
2013,CZE,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",54,0.2632
2014,CZE,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",55,0.2632
2012,DEU,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",14,0.6143
2013,DEU,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",8,0.7632
2014,DEU,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",8,0.7632
2012,DNK,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",13,0.6429
2013,DNK,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",28,0.5526
2014,DNK,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",28,0.5526
2012,DOM,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",62,0.1857
2013,DOM,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",34,0.4737
2014,DOM,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",34,0.4737
2012,DZA,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",129,0.0143
2013,DZA,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",106,0.0526
2014,DZA,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",107,0.0526
2012,ECU,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",73,0.1571
2013,ECU,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",58,0.2368
2014,ECU,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",59,0.2368
2012,EGY,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",41,0.2857
2013,EGY,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",15,0.6842
2014,EGY,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",15,0.6842
2012,ESP,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",3,0.8286
2013,ESP,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",31,0.5
2014,ESP,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",31,0.5
2012,EST,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",9,0.6857
2013,EST,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",8,0.7632
2014,EST,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",8,0.7632
2012,ETH,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",117,0.0429
2013,ETH,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",43,0.3421
2014,ETH,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",44,0.3421
2012,FIN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",30,0.4143
2013,FIN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",11,0.7368
2014,FIN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",11,0.7368
2012,FRA,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",15,0.6
2013,FRA,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",25,0.5789
2014,FRA,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",25,0.5789
2012,GAB,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",,
2013,GAB,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",91,0.1053
2014,GAB,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",92,0.1053
2012,GBR,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",4,0.7714
2013,GBR,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",5,0.9211
2014,GBR,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",5,0.9211
2012,GEO,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",111,0.0571
2013,GEO,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",62,0.2105
2014,GEO,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",63,0.2105
2012,GHA,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",99,0.0857
2013,GHA,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",91,0.1053
2014,GHA,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",92,0.1053
2012,GIN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",,
2013,GIN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",124,0
2014,GIN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",127,0
2012,GMB,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",129,0.0143
2013,GMB,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",124,0
2014,GMB,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",127,0
2012,GRC,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",47,0.2571
2013,GRC,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",43,0.3421
2014,GRC,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",44,0.3421
2012,GTM,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",36,0.3143
2013,GTM,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",58,0.2368
2014,GTM,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",59,0.2368
2012,GUY,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",99,0.0857
2013,GUY,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",124,0
2014,GUY,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",127,0
2012,HKG,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",,
2013,HKG,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",,
2014,HKG,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",,
2012,HND,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",79,0.1286
2013,HND,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",81,0.1316
2014,HND,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",82,0.1316
2012,HRV,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",25,0.4571
2013,HRV,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",51,0.2895
2014,HRV,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",52,0.2895
2012,HTI,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",127,0.0227
2013,HTI,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",124,0
2014,HTI,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",127,0
2012,HUN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",36,0.3143
2013,HUN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",36,0.4474
2014,HUN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",36,0.4474
2012,IDN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",79,0.1286
2013,IDN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",62,0.2105
2014,IDN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",63,0.2105
2012,IND,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",56,0.2
2013,IND,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",70,0.1842
2014,IND,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",71,0.1842
2012,IRL,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",26,0.4429
2013,IRL,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",81,0.1316
2014,IRL,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",82,0.1316
2012,IRN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",105,0.0714
2013,IRN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",70,0.1842
2014,IRN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",71,0.1842
2012,ISL,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",117,0.0429
2013,ISL,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",76,0.1579
2014,ISL,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",77,0.1579
2012,ISR,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",30,0.4143
2013,ISR,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",7,0.8947
2014,ISR,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",7,0.8947
2012,ITA,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",53,0.2143
2013,ITA,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",54,0.2632
2014,ITA,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",55,0.2632
2012,JAM,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",99,0.0857
2013,JAM,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",124,0
2014,JAM,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",127,0
2012,JOR,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",41,0.2857
2013,JOR,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",91,0.1053
2014,JOR,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",92,0.1053
2012,JPN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",6,0.7571
2013,JPN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",11,0.7368
2014,JPN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",11,0.7368
2012,KAZ,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",18,0.5571
2013,KAZ,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",3,0.9474
2014,KAZ,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",3,0.9474
2012,KEN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",51,0.2286
2013,KEN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",106,0.0526
2014,KEN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",107,0.0526
2012,KGZ,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",28,0.4286
2013,KGZ,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",51,0.2895
2014,KGZ,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",52,0.2895
2012,KHM,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",88,0.1143
2013,KHM,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",124,0
2014,KHM,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",127,0
2012,KOR,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",1,1
2013,KOR,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",1,1
2014,KOR,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",1,1
2012,KWT,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",51,0.2286
2013,KWT,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",70,0.1842
2014,KWT,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",71,0.1842
2012,LAO,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",,
2013,LAO,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",,
2014,LAO,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",127,0
2012,LBN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",44,0.2714
2013,LBN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",46,0.3158
2014,LBN,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",47,0.3158
2012,LBR,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",,
2013,LBR,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",111,0.0263
2014,LBR,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",112,0.0263
2012,LBY,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",,
2013,LBY,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",124,0
2014,LBY,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",127,0
2012,LKA,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",77,0.1429
2013,LKA,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",96,0.0789
2014,LKA,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",97,0.0789
2012,LSO,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",99,0.0857
2013,LSO,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",111,0.0263
2014,LSO,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",112,0.0263
2012,LTU,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",19,0.5286
2013,LTU,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",30,0.5263
2014,LTU,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",30,0.5263
2012,LUX,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",66,0.1714
2013,LUX,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",38,0.3947
2014,LUX,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",38,0.3947
2012,LVA,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",44,0.2714
2013,LVA,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",62,0.2105
2014,LVA,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",63,0.2105
2012,MAR,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",79,0.1286
2013,MAR,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",124,0
2014,MAR,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",127,0
2012,MDA,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",56,0.2
2013,MDA,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",38,0.3947
2014,MDA,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",38,0.3947
2012,MDG,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",111,0.0571
2013,MDG,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",111,0.0263
2014,MDG,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",112,0.0263
2012,MEX,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",32,0.3714
2013,MEX,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",25,0.5789
2014,MEX,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",25,0.5789
2012,MKD,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",53,0.2143
2013,MKD,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",81,0.1316
2014,MKD,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",82,0.1316
2012,MLI,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",88,0.1143
2013,MLI,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",124,0
2014,MLI,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",127,0
2012,MLT,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",34,0.3429
2013,MLT,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",54,0.2632
2014,MLT,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",55,0.2632
2012,MMR,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",,
2013,MMR,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",,
2014,MMR,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",127,0
2012,MNE,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",73,0.1571
2013,MNE,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",46,0.3158
2014,MNE,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",47,0.3158
2012,MNG,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",28,0.4286
2013,MNG,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",24,0.6053
2014,MNG,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",24,0.6053
2012,MOZ,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",88,0.1143
2013,MOZ,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",81,0.1316
2014,MOZ,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",82,0.1316
2012,MRT,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",88,0.1143
2013,MRT,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",124,0
2014,MRT,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",127,0
2012,MUS,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",111,0.0571
2013,MUS,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",96,0.0789
2014,MUS,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",97,0.0789
2012,MWI,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",127,0.0227
2013,MWI,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",124,0
2014,MWI,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",127,0
2012,MYS,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",12,0.6571
2013,MYS,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",31,0.5
2014,MYS,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",31,0.5
2012,NAM,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",129,0.0143
2013,NAM,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",111,0.0263
2014,NAM,EPARTICIPIDX,"10.04 E-Participation Index, 0–1 (best)",112,0.0263
